cid,text,time,author,channel,votes,photo,heart
UgyedCXPnt4ATb6cPJN4AaABAg,"This is awesome, so clear and clean !",17 hours ago,GangstaInLaw,UCOCrWcLP89UgpL1SSmt7qtQ,0,https://yt3.ggpht.com/ytc/AKedOLSxkLz0nx5rgGy218YArG6qfz3S2XIq6RGogQ74=s176-c-k-c0x00ffffff-no-rj,0.0
UgzTJjvYvUmkjTkeogJ4AaABAg,Super bro,1 day ago,Gouri Patnaik,UC4NSWfzoSLSwcri41yTntYQ,0,https://yt3.ggpht.com/ytc/AKedOLQHf5xCCHUL6d0W1bTShOsmWDRs4PggXKmrKQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4yZvI4v_8AwMg2I54AaABAg,"For Q9, Isn't CTE more readable than the nested sub query.",1 day ago,Ha Sh,UCmfohU7OLgdet41h6lxCVwA,0,https://yt3.ggpht.com/ytc/AKedOLSHz_cZe0hTfQ9piuyVRyreYzbNzYqRFgfX1Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzmrSRhtn1s7uubLWx4AaABAg,Can you attach data file,1 day ago,Deekshana DK,UC30cyB5Rsa2jLZbJRGNBwvw,0,https://yt3.ggpht.com/ytc/AKedOLTBMhnT-IPG5wqG0dF_dsAZj7-kEKWrDx7waA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz0_HDFlQq4P5LRHUp4AaABAg,you're a legend,2 days ago,huss22,UCqXEUK_cB4MCNJu1duRkWTw,0,https://yt3.ggpht.com/-3MZjFEPJQOntU0szanDAdr-sONUfYN-1sCNyHtze8pOEu68EQtgMiNxv69rZaTQQ-X5UedVYj4=s176-c-k-c0x00ffffff-no-rj,0.0
UgwVCHAJPKhIFNOQymd4AaABAg,"Thanks a lot, have not touch SQL around 3-4 years after school, a new task requires me to start from fresh. Spending 5 hours on one query joining 5 tables is REALLY not fun and frustrated :(",5 days ago,Lucien Chu,UCuh8Pb7PpkrcsuKAGdTpDTQ,1,https://yt3.ggpht.com/ytc/AKedOLQT4TinX9d8-gJ5DsxdhOl5tYLjoJQUV8ruIQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugw75ZrOnhaPYYAvITt4AaABAg,Sir pls tell me which tool is best,7 days ago,Harshitha Harshi,UCQpsOHx2S6gAYtyGkbaE1NA,1,https://yt3.ggpht.com/ytc/AKedOLQ-H7UUXULZYi8mwcX_UDmqcZVh_3OYfA7EixoVGeIsdt2dIf1O_EoyVL3YSx7M=s176-c-k-c0x00ffffff-no-rj,1.0
UgyqzPpHTQaNFHUN_jh4AaABAg,I have cleared one of my interviews with top MNC company because of this training video. Thank you so much.,7 days ago,Mounika Kondrapu,UCATXIq3PE3EWm_9PZaussaw,1,https://yt3.ggpht.com/ytc/AKedOLRqqgH0Mox-b6Do4NYjkosejX5CF2P-Km5RdEDwYw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugzl20FB9ynQFeYR_HN4AaABAg,superb,7 days ago,Billy Owire,UCfUS113-il5VynNpdOpjzgQ,1,https://yt3.ggpht.com/ytc/AKedOLRLfghJYsfktI2vy66g16xET4KzjJmYprc0benACQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugz3GAhbsbuE-QAtLZB4AaABAg,Explanation is  very good sir Sql notes provide me sir,7 days ago,Bonigi Bhargav,UC65SMvM_ma3DpDMSE2yDlaw,1,https://yt3.ggpht.com/ytc/AKedOLSAYkmsXrd_Xf4KNboOu86ZRWY_y4o-fUOCqGko9w=s176-c-k-c0x00ffffff-no-rj,1.0
UgwsKwUgThwko-rdwt14AaABAg,"This was extremely helpful.  Instantly subscribed. 

I think it would be great if you can create videos on how to use ODBC and excel drivers to ingest data into SQL Server Mgmt Studio and other means to perform bulk ingest and creation of stored procedures",8 days ago,iqbalmu,UCm-vMuxZ-dTrJmIbXXntvcg,1,https://yt3.ggpht.com/ytc/AKedOLRE4Vbrf8dPlBK5UuQ9j_ncH2QbUsoBP90OOQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugy6eEp-cWkCtbbU_ON4AaABAg,Abe ek video me kitni add dega,10 days ago,Shashank Gramni,UCFeaqcT2zxDA33_81vekXHQ,0,https://yt3.ggpht.com/ytc/AKedOLRXAwXNaNomWbE2-dmyiguicVLwWf75_bQ5UiOgEw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxwX8EPrgLHCBMUQ-N4AaABAg,This is great content. Explained beautifully. Thank you for sharing your knowledge.,11 days ago,Keyrun999,UC2NkR8A57GNV2DbmHN7EvHA,1,https://yt3.ggpht.com/ytc/AKedOLRQ3zIVl-8DD_3dYiz3sbYQmWWjhxsecrPduQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgwdKoSCNpporRkcpjp4AaABAg,"Hi, Thank u for your great explanation, but I couldn't figure out the explanation for Question 8. can u please make a video for that if possible? Thanks in advance",12 days ago,Tejaswini Nandam,UC0Dtf-NsiNEiuRBiFucLabA,1,https://yt3.ggpht.com/ytc/AKedOLQmS_bc4_wfrE9eMkpMh_AmijixiMYkcaUNriKGWjzPZJ0Dls4hjM0A2aG0_YM3=s176-c-k-c0x00ffffff-no-rj,1.0
UgxBuIVBKZP6nZ655Pt4AaABAg,Nice stuff,13 days ago,Swapnil Nair,UCedkvGHJFwuPtJj3UJOJaQg,1,https://yt3.ggpht.com/ytc/AKedOLR-eYhWB2KLrvX0x6QThRiMqOqg4sPNYMEYodAu=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx2Uc4BJezcwFgBjDl4AaABAg,"Please help me 
How to get all data have the same nam in laravel with request $id",13 days ago,Sallam Sallam,UCztpJeUkO5cOIehzuf7JIbA,0,https://yt3.ggpht.com/ytc/AKedOLQnBs8ws_h7yZ92XbUDK8RU44dIB8iSbLfFdSfl=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDU-NncnHgx6jPgIh4AaABAg,Do you have video on how to write trigger in liquibase?,13 days ago,scooby dooby,UCyqmpu7y-57-ZeWIZ8NQQOQ,1,https://yt3.ggpht.com/ytc/AKedOLRrdm5-Akgft058XK1IV1KKSTkjpn5S4lD8ZA=s176-c-k-c0x00ffffff-no-rj,1.0
Ugywftxe81oiqF-5b_V4AaABAg,"Question 3:  different window function other than min & max:

select a.emp_id,a.emp_name,a.dept_name,a.salary from 

(select e.*,rank() over(partition by dept_name order by salary) as min_sal,
rank() over(partition by dept_name order by salary desc)  as max_sal
from employee e)a
where min_sal=1 or max_sal=1",2 weeks ago,test 2518,UCsNmJHir1QsdzHS0FKz--Tw,0,https://yt3.ggpht.com/ytc/AKedOLQ5k1qJxVxVyRCpBvXiTN_1w7pxVQuPJmSqiIlql90tWCbwt5pmQR0q2Ecw29pC=s176-c-k-c0x00ffffff-no-rj,0.0
UgxQF-g0IlwuzrehRnh4AaABAg,"Showing this error
:-From keyword not found where expected",2 weeks ago,Bhargav Thammarapu Thammarapu,UCckwkRToLPr3QpROM1SNtxg,0,https://yt3.ggpht.com/ytc/AKedOLTyupd8hymIGrQ-_WIEg2bFehNlx1cwgz1E2drU7A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzee87YOjhwiai7Vsh4AaABAg,"very useful, great content... looking forward for complex examples please...👍👍👍👌👌👌👌🙌",2 weeks ago,Ramakumar Guntamadugu,UCQRtg4-JYH891p5mLhr40JA,1,https://yt3.ggpht.com/ytc/AKedOLTM-P0Ct-ftomWwHzr3hjRjk_UH8IB1Vmsnm2DANg=s176-c-k-c0x00ffffff-no-rj,1.0
UgwVCHAJPKhIFNOQymd4AaABAg.9_c-4NYD9xa9_cXr_27tXo,Your welcome and I hope my videos can help you grasp SQL faster,5 days ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw75ZrOnhaPYYAvITt4AaABAg.9_ZXY5z8UDi9_a-0AcWt0U,"Do you mean which database and IDE tool?
I would suggest PostgreSQL database and PgAdmin tool",6 days ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgyqzPpHTQaNFHUN_jh4AaABAg.9_Yn81V_THX9_YnmGXnt1v,"Amazing … congratulations Mounika 💐
I am so glad to read this comment ☺️🙏🏼",7 days ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzl20FB9ynQFeYR_HN4AaABAg.9_YgQZRt-pf9_a-aTZe6WV,Thank you 🙏🏼,6 days ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz3GAhbsbuE-QAtLZB4AaABAg.9_YB-NL5m809_YBqIJKhgf,"Thank you ..
Scripts and dataset provided in my blog. Link in video description",7 days ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz3GAhbsbuE-QAtLZB4AaABAg.9_YB-NL5m809_YCLGCvwZv, @techTFQ  thanq u sir,7 days ago,Bonigi Bhargav,UC65SMvM_ma3DpDMSE2yDlaw,1,https://yt3.ggpht.com/ytc/AKedOLSAYkmsXrd_Xf4KNboOu86ZRWY_y4o-fUOCqGko9w=s176-c-k-c0x00ffffff-no-rj,1.0
UgwsKwUgThwko-rdwt14AaABAg.9_X2PC2auzj9_YCHH2Z94g,"Thank you 🙏🏼 
And noted on the request",7 days ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6eEp-cWkCtbbU_ON4AaABAg.9_S3YW9e0gP9_TPcj0Tm4p,Sorry that adds distracted you but I hope the content was helpful,9 days ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxwX8EPrgLHCBMUQ-N4AaABAg.9_Nu3cKXdW79_NvRmnnVbV,Glad you liked it 🙏🏼,11 days ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgwdKoSCNpporRkcpjp4AaABAg.9_LppGJpolu9_LvNtqq89U,Thank you noted on the request,12 days ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxBuIVBKZP6nZ655Pt4AaABAg.9_K5hm0QWSR9_Lj13_mnm-,Thank you,12 days ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDU-NncnHgx6jPgIh4AaABAg.9_IIU3P212q9_IgI8Uokpr,"Nope, not yet bro",13 days ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzee87YOjhwiai7Vsh4AaABAg.9_CtgVVyRO09_DoJeqbaON,Thank you 🙏🏼,2 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxw7RcZC7Nuv29QZ-p4AaABAg,"ORA-00923: FROM keyword not found where expected

I got this error when executing the solution for query1 in Oracle....
Is there any big difference in grammar between PostgreSQL and Oracle...?

If so, how can I correct this query for Oracle working...?

Can anyone help this poor newbie developer.....😭",2 weeks ago (edited),정키위,UC_BxB_Osbo34aRK06dym7mA,0,https://yt3.ggpht.com/cM5E-XMU2dAH79Zc1YJjdI2a4HM3llv_lMBaYmEXi1hUU7bskir5bkENb8DEDpZovReXYmEJkAs=s176-c-k-c0x00ffffff-no-rj,0.0
UgzEBF3E0P6gUxQ1Y1F4AaABAg,Great tutorial,2 weeks ago,satyam,UC6TfSXuKpJkBEo9LsEbwmnQ,1,https://yt3.ggpht.com/ytc/AKedOLQimYd47I22-U8fedNA7obT_O5vbrSEr0gL23w6DQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgzocUIi_-PmZ7vDcTR4AaABAg,"Thank you so much for doing these videos, you are brilliant!!!",2 weeks ago,sanjana reddy,UCzQLOAScL7aZLQoR8hqQxjA,1,https://yt3.ggpht.com/ytc/AKedOLSBloD0wBHBtk2z8VRzhmH7yaXXV0FULBygB-Mlvw=s176-c-k-c0x00ffffff-no-rj,1.0
UgzIQMUtiCrAvS0oofp4AaABAg,"Thanks for the content, I am getting the error message for 1st question 3rd question saying From key word not found.",2 weeks ago (edited),Karthik Reddy,UCmdTRsDgu-RbCV87_VS-pig,0,https://yt3.ggpht.com/ytc/AKedOLSjuWtsixBZv7OuW8kGQv3kFfqOlzYVseh4EAAwDw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzGiKSulwo-xW-EK6t4AaABAg,"Thank you for explaining.
One doubt
What if you have not specified d1.id <> d2.id in Self join question (Doctor and hospital one)",2 weeks ago,Somya Jain,UC59b6IuMyqTS3bjUOptMojA,0,https://yt3.ggpht.com/ytc/AKedOLRELiaDvc3TF408k-xlKghH-tD6L-l_QfCggA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbgrE9LoFEaSkXSol4AaABAg,Such a great video🔥🔥,2 weeks ago,Garima Khirwar,UCapLdnAfdQWuzz8bbVjjiiA,1,https://yt3.ggpht.com/ytc/AKedOLSFAGEIOFhvrkzwC5em2F1q4MfO6kCq2cVA4g=s176-c-k-c0x00ffffff-no-rj,1.0
UgxEDHMoJkz-EV9cGep4AaABAg,https://youtu.be/JkzkrPnOp4w. SQL VIDEO,3 weeks ago,Derartu Fite,UCK5Lcy3S17YB3zxh3uYHw7Q,0,https://yt3.ggpht.com/ytc/AKedOLQTLubnVoKqYXmaDIzyMAFI5Rg0xCYc8LWfZg4VlSU=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7_PNlCaNVW6KsKLV4AaABAg,"Great explanation and approach, thank you.
Can we use groupby hospital for question 4?",3 weeks ago,Kruti Gupta,UCkA5WSDeP5Mt0IUcTyjl9Dw,0,https://yt3.ggpht.com/ytc/AKedOLTii-uN3EiaYj86mjS2mYHsdKp6-Jd3bbE8tRhyzOjQqJGq51WC1EzFOpV97oPN=s176-c-k-c0x00ffffff-no-rj,0.0
UgwnOo7MFlrwg05vo354AaABAg,"Sir.. 
Question 7 I didn't understand😔😔",3 weeks ago (edited),jayant mishra,UCf8O-iQVTxxtZCSW6Z7L08w,0,https://yt3.ggpht.com/ytc/AKedOLTJSygMTd7Fa5ESIGvH31lElV5HQrXHnxA7SmkV6g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwMg3Ktczj9TBXEo3d4AaABAg,"best tutorial on youtube, very well explained, Take a bow man",3 weeks ago,Sunil Pal,UClgSml6h85Bmwo-A22FpBTQ,1,https://yt3.ggpht.com/ytc/AKedOLSGFuGuY79uKuMGaBuzKzx0BZsb6D6OSriRrq49=s176-c-k-c0x00ffffff-no-rj,1.0
UgzkmDp3kE49ckUXFNB4AaABAg,your blog is very helpfull    thankyou for doing so much efforts to make us understands the concepts.,3 weeks ago,Dhaval Patel,UCOnTIJ-16etl925TE4nj_Kw,1,https://yt3.ggpht.com/ytc/AKedOLS2EfnKXzV9cdNP46xfPVkOJYjqPrj5IpzVYUnmlw=s176-c-k-c0x00ffffff-no-rj,1.0
UgxEotaIQx571F6YYDR4AaABAg,I have a question? on the duplicate question.....can't you use having  to find duplicates,3 weeks ago,Tiktok Compilation,UCyKr31MxZhgmnXCpA5-0kuw,1,https://yt3.ggpht.com/ytc/AKedOLQklMFLQx8PJJtZXTYFIQ4DhPraK6TbBWpRIWO0WQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgxmIL3UYvDBOntTHR14AaABAg,find your tutorial very clean  n  easy  to  catch,3 weeks ago,ataullah khan,UCoH1dn-mbJlcpWBLJ3M_RLQ,1,https://yt3.ggpht.com/-qlClr6rnL5Go20jvjVdxQ7DMQ25qmNDaD2JWdNRABxH6gXGmlbGj-oEyjECyrf_6TzMaAUPbaw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugwu5Tv3nlByEwl0ZjZ4AaABAg,Thank you for this,3 weeks ago,Sarah Farias,UCOyhm68GYl39OVqiPCy_WLA,1,https://yt3.ggpht.com/ytc/AKedOLSiVN3DCC9YqCbifCsyj1y494ogPpEN3wxLttMeHg=s176-c-k-c0x00ffffff-no-rj,1.0
