cid,text,time,author,channel,votes,photo,heart
UgwlubKY8ohCktothTB4AaABAg,You,11 seconds ago,Alberto Gomez,UCmTUnqrgzZFaZ9jd-RR98YA,0,https://yt3.ggpht.com/ytc/AKedOLQmVLFMTA8D2sRVf2Vye7xWPZrxMr72vZnMvg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyPTj7dRBSOnJh8VIh4AaABAg,Islam wont extend the same tolerance they expect of others. Tolerance of the intolerant is suicide.,2 minutes ago,Manish K.,UCqVy8vSZzbss1KtCu-D59sg,0,https://yt3.ggpht.com/ytc/AKedOLRch8wIaS1pgypGcvLEQhygfn4LU9ywtH_Rk1EMWw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzu73groC55MxpFil94AaABAg,"With all due respect to all Muslims people,if you come into my country I spect you to fallow are rules in regulations,put if you can't do that then go back to your country is the simple.",7 minutes ago (edited),lazaro peedro,UCZam8npMPWj54MsUuGmE3zg,0,https://yt3.ggpht.com/ytc/AKedOLQXaHPFaQS3SCI8lNCGToAnrWrp8NCwli0ZnG6orAk=s176-c-k-c0x00ffffff-no-rj,0.0
UgzPEQ1xmDB-MaAmn1J4AaABAg,"These muslim women are stoned to death in islamic countries . But in non muslim countries these hypocrites want sharia law .
Why not these hypocrites be sent to islamic countries which follow sharia and allow head scarves immediately .",17 minutes ago,Amit Mewada,UCEcdxazrr-fq3iW4m6MazNg,0,https://yt3.ggpht.com/ytc/AKedOLROKuN-l2o16HJ3_1NNB5unUSlnnoXh46UDdA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNy1mVGSopTzF9Shp4AaABAg,"Playing victims as usual , it's not in the Qur'an anyway. The word of a women worth half of a man , how to marry a prepubic girl & divorce her, discussing at best",26 minutes ago,jab5555,UCrZUtKorpR3tXLcak0jQJGw,0,https://yt3.ggpht.com/fetqwBdETXTQ8UNwNxLRGCM5HgdF_9Simix1Vmj-kt4wH8_Ma_q2u8KByrWN_oz2SCeKjx2x=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQO3PN4pJPX1TUz5d4AaABAg,"i'm not surprised to see this much hate and hypocrisy here since the Muslims are getting killed and attacked in India at the moment ( Just because they are Muslims there is no other reasons )  

shame on such people who claim to be people of peace",43 minutes ago,SH7MSxKLEH,UC5cNbmsRUIcJKxY3Qo1WN-A,0,https://yt3.ggpht.com/ytc/AKedOLRjdSQ3oXjDmuP4U2dI4qa7h0CrIzoCizO5mIMQkg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxOr6Wh6VwdpHqL1gh4AaABAg,"Vote for her and pay the price of your votes.
A racist woman will show France a skeleton in the cupboard. A Russian ally .",47 minutes ago,Evans Evans,UCpTHKWPn0U39Q9mB2cLwztA,0,https://yt3.ggpht.com/ytc/AKedOLSMppZdSY-jVMWef_o3CKVi5qOtWjardOXzLg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_VOW0eAR8IrEjQ6h4AaABAg,"India , Israel and France has same ideology and problem  , but France and Israel are way ahead of india to ban these Islamist .",47 minutes ago,ROCKY YASH GAMING,UCC1AZul1JiNnXOFW7u-QxlA,1,https://yt3.ggpht.com/ytc/AKedOLR5EQxMeISG2swiFw9lnrUkXHtbL7krbUx-SN7TfshGx7pEYYj1h-3j3nV9y6FK=s176-c-k-c0x00ffffff-no-rj,0.0
UgxR9E2WZKVh3vK_S494AaABAg,"To the ppl who say ""Burkha/Hijab is just a piece of clothing"". No, Burkha/Hijab isn't a piece of clothing. It's a religious symbol for others and if someone is wearing it, we get that they are muslim. If it was just a piece of clothing, you wouldn't be makin this big fuss now ryt?
To the people who say ""Hands off my hijab, woman's choice, don't try to police my clothes."" This is a piece of clothing that is already mandatory for you in the islamic religion. Why are you talking about women's choice when it's never been your choice to make in the first place? 
To the people who say it's islamaphobic to ban hijab....In places such as Iran and Saudi Arabia, all people (including non muslim immigrants) should wear burkha, it's mandatory. In places like qatar and saudi, other religions are not allowed to build their churches/temples or worship in public. Is that considered phobia towards every other religions? 
Hijab has been problematic from day 1. It is a mandatory piece of clothing and is a symbol of suppression for many women in countries like afghanistan. When in some parts of the world it's a symbol of suppression, it's hard for others to see it in a pretty light. 
People are treating symptoms. The need for wearing hijab is coming from ""needing to hide every bit of your body from male gaze"". Why? Can't your islamic males keep it in thier pants? Don't they have a clause in Quran telling them to keep it in their pants? One could also say that islam is making women to be ashamed of thier own bodies, treat themselves like sexual objects. 
People should follow rules of the country they reside in, be it muslims, christians or others. Yeah one could say that there is a slight islamophobia in all of this, But can you really blame anyone? When was the last time islam was lovable?",48 minutes ago,Sandra,UCnlkMOh7OcbEke35uGiOI5g,12,https://yt3.ggpht.com/GYWT7DLdBF3mcZskJA3z2LuogD2kcn3Wx6-YyZVoSzNEi4K3ci0cvLCHcaqW9xHDzEoY-H0W=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy14Fdps50TRvVLmnB4AaABAg,"They r white , blonde hair and blue eyes .... just like us",53 minutes ago,RA. J,UCq7zdY3gcXYl9eCxw80NjFg,0,https://yt3.ggpht.com/ytc/AKedOLSLvnozmaRArjHwPBbTpHf0zw22IsYb4MR4ooqM=s176-c-k-c0x00ffffff-no-rj,0.0
