cid,text,time,author,channel,votes,photo,heart
UgwTR7Wdg_FDSJxndwp4AaABAg,A lesson  to  africa  looks  after  his  people,7 hours ago,Neermala Pillay,UCLRDx9eFd8MgfB54CJDN3ig,0,https://yt3.ggpht.com/ytc/AKedOLQcUnfkgptsn9ZoH0wh8C3S1mYsUwok2pNBMmBNy_yjaSjtcmYdgpJUlA6rGt9m=s176-c-k-c0x00ffffff-no-rj,0.0
UgxeJCrPYrI2i25Zrrd4AaABAg,Beautiful house in Rwanda are there! because there are the ones commonwealth leaders will live,8 hours ago,Karanganwa Prime,UCQ83pLlPyiLAe-_GRmQcgiQ,1,https://yt3.ggpht.com/ytc/AKedOLQTO7E0xTQYOCFXpkElebhks9gnK0haVb2-iCoPwBC8NzTVXU_ZS-fi-Bk7ncH5=s176-c-k-c0x00ffffff-no-rj,0.0
UgwCLH__YWFnzB5tJoR4AaABAg,Thousands?? We want millions of them sent to Africa,9 hours ago,Joe mamma,UCYiZ8SaRVYcsL0QVlPtjCmg,1,https://yt3.ggpht.com/ytc/AKedOLRiNTvzjFhgK-SZROw0PvtVHkXDoMtgWAVLEkSfCo5AwCrVQqCE5JyEi6MF60X6=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw1S6bcFZjYyt73sqB4AaABAg,"If you don't want to be deported there don't come to UK, SIMPLE",10 hours ago,Shark Fish,UC4OLZ8CemlVgONRvRkoxwFA,0,https://yt3.ggpht.com/xHw_FuTP0K7X6lOP8fBJXy68IDkCNNyKefqjtKP2kSMICo7VHT-fKjXfUQMf8jxWYoFuuvndyG4=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBC3SG6d4zD0dQGRR4AaABAg,"Let them come many people don't know how Rwanda is, except ideology of that it is in Africa",11 hours ago,Karanganwa Prime,UCQ83pLlPyiLAe-_GRmQcgiQ,1,https://yt3.ggpht.com/ytc/AKedOLQTO7E0xTQYOCFXpkElebhks9gnK0haVb2-iCoPwBC8NzTVXU_ZS-fi-Bk7ncH5=s176-c-k-c0x00ffffff-no-rj,0.0
UgwXtLYra9tx6DdH_N94AaABAg,"Ecouter nous monsieur Boris , tout d abord je vous salut. Oui on vous demandez premier minister du Bretagne  ni British  s arreter regarder Rwanda et Afrique comme les papire. 
En partculier le Rwanda ont 5 millions rwandaise qu ils souffrance partout au monde, aujourd hui les angletre  ni bretagniske  veux mulutplication dur a  douleur a  l Rwanda. on demandez  au haut niveau que Bretagne et Rwanda devrait annulles leurs psychologie déménagement refugees apartir  l Europeen a l Rwanda. Parce que le Rwanda n ai pas terre ou est endroit ils sera geres ces refugees apartir en Bretagne tandi que seul Rwanda n ai possibilite des ses refugees Rwanda , par ailleurs  on les soupçonneusement quelque chose ce que on en oublier vois ensemble.
Vous savez ces comportement , il a deja s arrive 5 mois passee quand l occidentale a etes un danger plans de envoyer pologne refugees  a l Biélorussie , et ainsi tout jours le occidentale pense de perturbation la paix les autres sur cet planet.
Parce que on encore comprendre  comment le Rwanda d avoir travailles avec  la Bretagne que  demenagement refugees apartir  aux pays puissance   dans economie et civiliser  et aussi au politique , aujourd hui  d avoir decider  s envoyer  les refugees , 
qu ils n ai pas   papiers a l Rwanda. On demandes la Russie et l UA et la DRC  et l Ouganda et Tanzania et Kenya , et Sud  Sudan  et a l EAC  .  et commonaut de l Internationale avant  Bretagne et le Rwanda , pour bien vue ces demander des demenagement  au Rwanda  a quels mesure ils voudrait utiliser  d geres ces l issue prendre le refugees a partir de Bretagne.
Non et non ces mentalite des impitoyables devrait s arreter le Rwanda n ai possibilite de geres refugees pendant ce temps a ses refugees  encore souffrance partout au monde entier.
On repeter ce  que le Bretagne et la Rwanda devrait  d arreter le mentalite disruption le continent du Afrique  et les Africains. nous vouloir pour comprendre bien que l occidentale ces sont gens qu ils toujours utiliser  massacres psychologie de trouble au monde. A bref le Rwanda incapable demanegement les refugees tandi que le Rwanda particulier  ayant 5 millions les Rwanda qu il soufrir partout au monde entier. Non et non nous veulent pas ces tuer pschologique de l occidentale  ils veux disruption  de l Africains , oui le Afrique devrait eveilles sur leurs continent du Africains n cela signife que toutes chose les europeen demander oui et oui  non ces comportement de tombez nos continent du Africains on ne veux pas ca.",12 hours ago,kanyamagara abdallah,UC1oe1AgvaWk5eOSEqE_G8fw,0,https://yt3.ggpht.com/ytc/AKedOLSxh8QeaSWJyQWuWRVb-KtFRBK3mxJFQxCLaQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzXGcCzHqfvdkSTs0x4AaABAg,It’s much simpler to send them back to where they came from. But that’s too obvious.,12 hours ago,1984 I’m Back,UCO7TMi3OgmM3t31RvXMLgDA,0,https://yt3.ggpht.com/89Wv5d1hhPOIUSl-rmtnRveoyQ_hHXlgnX-w7zWDUWIJP7GW_CfXfNo9L38ErgQXZ9ocLB7PeA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzpDDppxzDKfAK4wVp4AaABAg,Good.,13 hours ago,TheDAT573,UCsNOkl3g9IOrJKf_1t_IQNQ,1,https://yt3.ggpht.com/ytc/AKedOLTcmy_D1lFqpKywmG6yM1DCD8fT5Dy_4K0aEw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxl7qQ9qVA4fAevh194AaABAg,"Seeing the darkness, blackness from the black man that signed the useless agreement with British government. It defines sorrow, hardship, pains, hunger, no stable electricity, no good roads and hospital, the same Britain migrated and invaded Africa in decades. Allow people to work in your country.",17 hours ago,Bright Romeo,UCYGMUpHlmxqdnft-U_NcjCg,0,https://yt3.ggpht.com/ytc/AKedOLQyPII01niaCNHJliMjSgx36RwiksCooI0zlQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzcgAGk6nv4RLyaYph4AaABAg,"They want to remove, relocate those having black hair and black skin and welcome Ukrainians. Racism in the highest manner. That was why Boris Johnson went to Ukraine to discuss with zelensky. My question is will they send Ukrainians to Ruanda ??????????????????????",17 hours ago,Bright Romeo,UCYGMUpHlmxqdnft-U_NcjCg,0,https://yt3.ggpht.com/ytc/AKedOLQyPII01niaCNHJliMjSgx36RwiksCooI0zlQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwfpHGXuyhu-WCGWfR4AaABAg,Shameful,17 hours ago,Ghidey Solomun,UCcg5A683TBhoaxYaZcMrysw,0,https://yt3.ggpht.com/ytc/AKedOLRA5ygU756xnaP55R4NcYJYgISIaAOz9AfzdNyO4Sv9y556FjYa8IRikjH9Avl0=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9tLwjEuRdVFsOhTd4AaABAg,Totally agree they should also sent ukrainians there too.,18 hours ago,Umayd Niassuh,UCukp-KjNssVIUuglWs_A60w,1,https://yt3.ggpht.com/ytc/AKedOLQE8If7sf_0fipFAFJktP09Wjszeax6Sen7rA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyIvQtH9IJQuzLm71t4AaABAg,"More than 50% of the British population would like to see an end to the right-wing ultra conservative regime. Indeed, Rwanda would be a good choice to get rid of the British tyrants in power.",20 hours ago,lutetia organisation,UC0J5KfQskOczX_livyFWmrw,1,https://yt3.ggpht.com/ytc/AKedOLQDU17thCtxBYNxSLdTAYEWT4L0u_l1tX5SERp3=s176-c-k-c0x00ffffff-no-rj,0.0
UgwGQpqHwfg-ElPT4ft4AaABAg,Hope that this will send clear warning signals to those who are planning to reach UK illegally as refugees. It would be better if other countries follow same path.,21 hours ago (edited),Anegan Nanda,UCVI0JUmReYvgqCRa4eb5h4A,3,https://yt3.ggpht.com/ytc/AKedOLTBDeUHmHz0w1bBMnyROOVS76cpSzPHWlKRmQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwf8F91CV-B7kUm-Ml4AaABAg,Zero respect for Ruwanda if they allow that nonsense,21 hours ago,Lamin Sillah,UCXgR5qC_5H1-OC9_MTxEKXg,0,https://yt3.ggpht.com/ytc/AKedOLSqK5ai9T7oaR9pX0Z9BQxkl0Yya9i2ML1dnPu5qg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz5mM8yvCp2OoDnfSV4AaABAg,Africa for Africans....,21 hours ago,Diba Speaks,UCPwMYKOsZ2w-Y8n8iby81Kw,0,https://yt3.ggpht.com/WWOe6qGIj-VT4b8Hb6KKITosBrw8D7Ixqsgc8ixnL5qfpD_y385Y33oskH9ahgwHdislmYPjzQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPVZy4xY_BbpO3Ud94AaABAg,"Usual double standards. If it were Russia or China doing what U.K. is doing here, the E.U. and Western Govts. would totally condemned it.",23 hours ago,HolySpiritFollower Godbeliever,UCBYbeQaJUmPrb0L2AztCtSg,0,https://yt3.ggpht.com/ytc/AKedOLRHJVua6Vq4FgR-k-PTiXql1hGGS3FF-B_Ikg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDbg-1jjuqt1nsoEZ4AaABAg,The UK is progressively becoming a complete pigsty and the reasons why are visually evident.,1 day ago,Ronald Shea,UCI2JenfskmtY8jOGvHUdLRQ,0,https://yt3.ggpht.com/ytc/AKedOLSv8FRlvt-88JvJ2LRLXyQu_lHmGZlCm6bPHARs=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvIVD-rEgbmYJtya94AaABAg,The UK is sinking under the weight of illegal immigration.,1 day ago,Ronald Shea,UCI2JenfskmtY8jOGvHUdLRQ,0,https://yt3.ggpht.com/ytc/AKedOLSv8FRlvt-88JvJ2LRLXyQu_lHmGZlCm6bPHARs=s176-c-k-c0x00ffffff-no-rj,0.0
UgwCLH__YWFnzB5tJoR4AaABAg.9_sT1JM-A2z9_tFhVwkvsj,Hell no,2 hours ago,Beautifulchocolate 1,UCpjZb4uNlj-rev6h6_OlzQQ,0,https://yt3.ggpht.com/ytc/AKedOLQktj_lpic46JRw2Qy3U0YqaC_xi3B5cAiK_zFbHA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwXtLYra9tx6DdH_N94AaABAg.9_sCGRydUB49_sOiHFA9Gc,Le rwanda a accepté. Il est temps que d'Afrique participe à l'immigration sauvage. L'Europe a assez supporter ceci pendant plus de 50 ans. Maintenant à votre tour.,10 hours ago,H. C,UCjMsqxxKFx8uMtxfwYHzEgg,0,https://yt3.ggpht.com/ytc/AKedOLRJ-HY9YFuY0IKR554G906tXqNTR1hvjsCdZgNDSQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwGQpqHwfg-ElPT4ft4AaABAg.9_rF456pcO59_tTgIc9pq6,Brilliant,15 minutes ago,Roger Ratcliffe,UCp0YDS6J9x3CaHF1RNOiM7w,0,https://yt3.ggpht.com/ytc/AKedOLTpVlwky-8ZgusAWkyig5IfAs2T4lf05PfthPT_ovwxNNKsIe7wbQMQnB0TOycI=s176-c-k-c0x00ffffff-no-rj,0.0
