cid,text,time,author,channel,votes,photo,heart
UgzBRhhEiKgk45tmu994AaABAg,"Where was the ICC the last 8 years, while Ukrainian security services were kidnapping, torturing, raping, bombing and executing civilians in Donbass? Or including Nazi groups in their military that did the same and worse? These abuses are well documented by the OSCE and western human rights organizations.",17 hours ago,Apollo Moonberg,UCGfXpO64vE1gk7GVKFmBkIw,2,https://yt3.ggpht.com/ytc/AKedOLQgESnUUKGtla-3fVUbbHmY2CCNFyiL6_W2tdx7Z2RBNv2sriix7nbs-Sf8vpZM=s176-c-k-c0x00ffffff-no-rj,0.0
UgznNzI-ro7G3cC8VzJ4AaABAg,"We know America is responsible in Afghanistan 🇦🇫 Iraq 🇮🇶 Syria 🇸🇾 Serbia 🇷🇸 Vietnam 🇻🇳 Japan 🇯🇵 Libya 🇱🇾 Tunisia 🇹🇳……….
USA & Nato are war criminal",21 hours ago,Mike Riggall,UCLq0Jfz45Q9neglIjfnAXHQ,1,https://yt3.ggpht.com/ytc/AKedOLSczvSD9YnYRkib-370Hl_k8bxUfSxgjcz7UkOP=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7J_fUJEX72i6lJf14AaABAg,"As a Russian, I will never turn my back on an Indian. It is very dangerous to turn your back on a snake.
How are things now in the ""pearl of the English crown""?",21 hours ago,Смотритель Маяка,UCSV03ya_XyBGW_R40pDUTAA,0,https://yt3.ggpht.com/ytc/AKedOLR7AC950SHdRzExDe_IDdE41TirswF-G6VBxt4i=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJcCBwIFmwr4SCAtd4AaABAg,Wow so USA will document the crime scene in Ukraine...the leader has cognitive disorders and because of him every western country sent weapon to Ukraine without Think Ng how it's going to affect civilians...and now they are still following the orders of Biden the insane person...,23 hours ago,Ronika Singh,UCoGv6KL6-cnZEMORFfcvXqQ,0,https://yt3.ggpht.com/kagD63z9XYCKO_5OW7lguOyT1vrp4gPhusk52fqLWV9vt7B69Vz8X6rPdZIq1TAgbFDAjLX5ug=s176-c-k-c0x00ffffff-no-rj,0.0
UgwE6b3vtDlW5Su3gdZ4AaABAg,"Voice of America !?!?
What the hell is going on wion ?
I don't want American voices cause they are mostly brainwashed by Western media!!! Cmon wion you can do better than this.",23 hours ago,BARKI,UCQgu-et45B7VxEkJnSiwiPw,1,https://yt3.ggpht.com/HYw4SAswHQD7y3D3HZ9_eTCjz6vxl3x580lsXRIkVS_BonsJ0UdmxVEWIJOGGdCRhtNlfX8aWiE=s176-c-k-c0x00ffffff-no-rj,0.0
UgwDvBlFNM-HBN5fTuR4AaABAg,"All those bucha was one scam made in for make the Russian like criminals! The ucranians began to put hired people to make the fool and play laying on the pavement like corpses! With the idea of touch the European sensitivity folks and those last bring the go ahead for give more weapons for the kiev regiment all with the rejoice of the  USA military complex! ( the Europeans bring ALL their old military hardware and in exchange buy the more and top high end weapons from USA! EXAMPLE 64 RAPTORS FIGHTER JETS WITH GERMANY JUST PURCHASED!) DON'T BE FOOL, FOLKS! ALL THIS IS ONE SCAM!!!  MADE IT FOR THE EUROPEAN USEFUL FOOLS!!!",23 hours ago (edited),carrera carrera,UCcga34hpPsRFDBI4HHzUtzg,1,https://yt3.ggpht.com/FNwyw877NvRCpOHbhUQHUJmzhbRZSF7nr9mnrrD5vdb07nu4CdKLz7IdrIaqwGzOsRggAjSfETU=s176-c-k-c0x00ffffff-no-rj,0.0
UgztSa9BOVxOkfgMzaN4AaABAg,"VOA!!! know, you see who is command the shots on this channel! I hope to made one mistake... But the logo and color say anything and this is:
Voice of America! 
That's is all! Wion one disappointed channel pro American warmonger with curry spicy!!!",1 day ago,carrera carrera,UCcga34hpPsRFDBI4HHzUtzg,4,https://yt3.ggpht.com/FNwyw877NvRCpOHbhUQHUJmzhbRZSF7nr9mnrrD5vdb07nu4CdKLz7IdrIaqwGzOsRggAjSfETU=s176-c-k-c0x00ffffff-no-rj,0.0
UgzeEzibOYhypFG0AFd4AaABAg,"The missile which hit Kramatorsk train station and killed 50 men, women and children was a Toshka-U: only Ukraine owns this type of missile...

this is now well known, how can the 1st lady shamelessly blame it on Russians ?",1 day ago,toto bibi,UCYBNeJyRIGCHL8P6qa9bt2g,6,https://yt3.ggpht.com/ytc/AKedOLSfG2qot_ZYO0mL0W92QntXbsiWXrevjnymJA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzxdmEGi66imGH27DF4AaABAg,"Must be wonderful forming part of institution making rules, laws and consequences, that don't apply to yourself but are there for others, do they really think the world is blind to this hypocrisy",1 day ago,Jason T,UC_MCm3qRnrSLmiKmOhwqchw,2,https://yt3.ggpht.com/ytc/AKedOLRbdoKRYABg45iZXpdgLLqTvL5hcbjA6gNl3w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJ6AR39Gu6NhLctbl4AaABAg,"What about Libya, Iraq, Somalia, Vietnam,",1 day ago,Will Henson,UCPJjZ6H9VnLc7_VK5TWwhYg,4,https://yt3.ggpht.com/ytc/AKedOLRemM-TJO0hR265Dg44Obba-vIQ_ONfBVxbm2_Q=s176-c-k-c0x00ffffff-no-rj,0.0
