cid,text,time,author,channel,votes,photo,heart
UgwFF_FtsY4AW8Lg_Y14AaABAg,Muslim nothing new,15 hours ago,hey boiii,UCvFUycyoRRPL041OTCz29Gg,0,https://yt3.ggpht.com/ytc/AKedOLQZL8VaY0wDwT19RYA_X90BiI02x3Q9t43kDA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwccPvWzxw0rZX2CDB4AaABAg,i hope US doesnt claim they have mental health issues and send them out on our street. They dont need our prayers or patdon just put them on an electric chair,17 hours ago (edited),Prashant Tayshetye,UCHkPbo_SwfxB2sxZddb1l0A,0,https://yt3.ggpht.com/ytc/AKedOLTFi3DAAW_IvVynb-x1VH3G9Yih_r0EiR4ZwDfxbEYxDg7J3oyM_Rukzk0BXMlZ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZQ5u736YwMdtBG_p4AaABAg,May he d!e in prison.,18 hours ago,Shadow Slayer,UCntdJS0kgXKt_kii4ayW1sg,0,https://yt3.ggpht.com/ytc/AKedOLS0gEVSpIxQn8DPho7kiO_I0If7YfRGkyydpQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyWu4AzPhJEY-hwpzF4AaABAg,"Great! Now the US taxpayers can pay for him to have food, shelter, medical care and education for the rest of his life. It would have been just as well to let the UK keep him and try him there.",18 hours ago,Jj Sams,UCtH_EygWQ2_iFcxaaEt7UyA,11,https://yt3.ggpht.com/ytc/AKedOLSEaa9WhlLjhlIN1eYEQrE57o7ObKgD3hF2ilDVyDQDvBx13-lD96casg5M5V2a=s176-c-k-c0x00ffffff-no-rj,0.0
UgwbS0Z0EAS4wTqBZpd4AaABAg,"Islam is beyond,, Cray and psycho, 
      They tried to convert me in Islam,  when I was in Dubai, literally, they say if u convert then Allah will give u this or that. 
    I m like wao we can make deal here,  
 Bye bro Allah bless u, keep ur previlege  I m not interested in ur business.",20 hours ago,convert me please I want 72 hoors(girls),UCzhV8TPKSA9fAvWPHzrCiGQ,1,https://yt3.ggpht.com/L3gcETvmvUwB3OyaO0SyZMLUnMGX9MCybxBMkK-8qq830hk7dXW40fHNKal-gxtnkwlxEIa6EQM=s176-c-k-c0x00ffffff-no-rj,0.0
UgytdWhfdgfCySGY-ap4AaABAg,"At least the European psychopaths who created them and enjoyed their videos, oil, and meth are still free to create new groups.",20 hours ago,Single Life Form Organism?,UCEXJ63gY0lorpyszuqx3HKw,1,https://yt3.ggpht.com/CqaMZkYzSHdTEujdgwgVdcUITzHkEwrmdnkutjlK6Kl5HV3JeTMXm7vGPkCXQqNG-pCiOxzV=s176-c-k-c0x00ffffff-no-rj,0.0
UgyY9vmMVrm_SyhRJjd4AaABAg,OH....WHY ? SUCH A PISS FOOL RELIGION 🙈💩🙈,22 hours ago,Ifeoma Ofili,UC09I0O41I5SRYS6qIXIN4sA,0,https://yt3.ggpht.com/ytc/AKedOLT-fLdjD5Pdk-xwFNS65w1EN4OU65StCd5oLwSqJsjpjtvJczQg_OlkTBMgiD4I=s176-c-k-c0x00ffffff-no-rj,0.0
UgxMEPeTsfy8y8m8aKR4AaABAg,Brown people diversity is ...,22 hours ago,Todd Foglia,UCAJ-gs4UwY50zkXgW0awJdQ,0,https://yt3.ggpht.com/ytc/AKedOLRDD6iSvqYa2pKzmz1uWmkhpCKbEf_oUuTXsg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxyBH0DoroGsiJ3wx54AaABAg,oh cmon not Susan. she stutters way too much.,22 hours ago,Boris Sheen,UCU5kHjZQaAkMdU1P9W0srgg,0,https://yt3.ggpht.com/ytc/AKedOLQ02PSjPZ0S0sxmYzrzvM5xu7Cojg-He7FVo5-6=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpjShYWBCCjvNdK7Z4AaABAg,Why are they in the U.S and not in Britain?,22 hours ago,T - Bone,UCK6pHv0Ls1JwsOoGu2tuedQ,2,https://yt3.ggpht.com/--qfTOlLGbRxhPXcKrZMln8Tae4uIJ3Tq_BraConoym7Xxiwr30Vd4E6_67IABZDnTNP-6QJTQk=s176-c-k-c0x00ffffff-no-rj,0.0
