cid,text,time,author,channel,votes,photo,heart
UgxDLZWlHTiurtuwLIp4AaABAg,Russia should send 600 million dollars worth less gas.,1 hour ago,Intellectual Kshatriyas,UCT1b2-7o6gnfpHvE6rWRG-A,0,https://yt3.ggpht.com/ytc/AKedOLT5UNsdlLiIGCj9gXgqepgMIplpk_3ZiXUO_dvyLO0=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyq6OaXWoHaaxeqEXF4AaABAg,Daylight Robbery,1 hour ago,Charizard X,UCI1QqYdUXKOVBna4bOM8l-g,0,https://yt3.ggpht.com/VDLaldK72sucU-T3EJpGVq8lgZ6wyKJgwxR6POxDbMqXRAngAQsY2HmaWl83GabTr7olTeYw3A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAS62tnmpn_bTMc_R4AaABAg,"You can't fight with the big no muscular boy in the class, so u poke ur benchmates back and roll ur eyes !!!!!",4 hours ago,Rishi K,UCEAeTYMXXlaOTaObe6eJIFg,0,https://yt3.ggpht.com/ytc/AKedOLSybqu-1VEgK6NL9tXCyAKCA6mq6lFYOL1kIg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwiXeMjAeISNhO9rkt4AaABAg,600 million ?? To pay Russia for an afternoon Gas imports ?? Why don't they stop this hypocrisy and take a neutral stand ??,4 hours ago,Rishi K,UCEAeTYMXXlaOTaObe6eJIFg,0,https://yt3.ggpht.com/ytc/AKedOLSybqu-1VEgK6NL9tXCyAKCA6mq6lFYOL1kIg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxMJPY8sJUYCz4l9hN4AaABAg,It's,7 hours ago,Eng Don,UCbJzDGflZCAj7I72d8iBH8A,0,https://yt3.ggpht.com/ytc/AKedOLTBXoasrRy18Y_UT3CmoD0Eh06OLURcJ887Q3rZCPg_48vweYq__-ozqxISFV0V=s176-c-k-c0x00ffffff-no-rj,0.0
UgwuRE4SB1KhqoAy7-t4AaABAg,"wery pitty Germany, so undemocratic",9 hours ago,Ticius,UCwestVNX5pqn4XW_3Ganmyg,0,https://yt3.ggpht.com/ytc/AKedOLSDp1yuErMkGAf-9LZamIjpwH32Ml8KLm0X0-RR=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUErOOJBAE0in1rgF4AaABAg,yes!!!!,10 hours ago,Jarrod Yuki,UC_nNxY672yCmAJGNB21y9ag,0,https://yt3.ggpht.com/ytc/AKedOLQFFSMpbhrwwlQnRFcoMCEvDFpNjfiXtrCLUg=s176-c-k-c0x00ffffff-no-rj,0.0
UgztBweQFm7wR2mQxVh4AaABAg,"As a German, I am absolutely against this move. Now Russia will retaliate in some other way.",10 hours ago,Maximum John,UCuyUMJxiOOao7XnTw7ooLnw,0,https://yt3.ggpht.com/ytc/AKedOLRG49qFd-3NVrwU9ddbFddK9C4677UYDM6Nl96M-9Cv5JbmJvIM4mIxgittx3B9=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx6g8oIYPbB2bMDT6R4AaABAg,It’s a present for Merkel.,12 hours ago,1984 I’m Back,UCO7TMi3OgmM3t31RvXMLgDA,0,https://yt3.ggpht.com/89Wv5d1hhPOIUSl-rmtnRveoyQ_hHXlgnX-w7zWDUWIJP7GW_CfXfNo9L38ErgQXZ9ocLB7PeA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx3bWoFps_IRB9wCRd4AaABAg,Robbery by the German government.,13 hours ago,V L,UCzL5EsqOacu2f6nyAtdjzLw,0,https://yt3.ggpht.com/ytc/AKedOLTfIWdalvZaXMRacd7moHy9XdzF4e8hg9qsfw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzhUqBotUex12BMkdZ4AaABAg,"DID THIS JACHT OWNER ORDER OF THE ATTACK ON UKRAINE?  PRESIDENTS? ✋️ STOP YOU'RE PUSHING RUSSIA TO START A NUKE WAR THAT THE WORLD IS NOT READY FOR? ITS VERY CLOSE!!!!! ✋️STOP, YOU GUYS PUSHED PUTIN TO THIS? (UNDERSTAND)??(RUSSIA DID NOT-GE-TROOPS-NEAR-THE-US-OR -EUROPE? IT WAS YOU GUYS APROACHING RUSSIA!!! SO ✋️ STOP THIS WAR? ✋️, PUTIN WARNED YOU MULTIPLE TIMES",15 hours ago (edited),El d la Neta,UCr0AfANmndtUNtz5wKGC-WA,0,https://yt3.ggpht.com/ytc/AKedOLRwRDOJ32aWfdDnUGdOkJpKazgcAfB8moH-cuoCEX9UpZv9U797861rABdvwh0p=s176-c-k-c0x00ffffff-no-rj,0.0
UgxqSclBS88Le48b5KN4AaABAg,"so, in Response to what they call crime, they make stealing legal. Countreis claiming that they're against war supply weapons to a conflicting side (which will only make the war last longer and kill more people). The world is truly entering an era of craziness",20 hours ago,Oleg Geraschenko,UCpzxiiiKuwd7wiRwZlmPdaw,0,https://yt3.ggpht.com/ytc/AKedOLRO01pHTbqhg__gBpDmmbV0CsuCv0IVoxLhpQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzhUJSzTruaE6fYQY14AaABAg,Germany is not doing this. We are under US control here !,21 hours ago,Enno,UCeeFBjUXDjgoH7sD5FMwP0w,1,https://yt3.ggpht.com/ytc/AKedOLTzw_uxGkNmtGGDvsu95R-4FM95dFRKIvEx33i61g=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDO2wW5kw8YlQ2qK54AaABAg,confiscates like Hugo Chavez make it,21 hours ago,sergio ceja,UCmcu1ZEl9aCGr_7aRSZYgOQ,0,https://yt3.ggpht.com/ytc/AKedOLS2hfPquX2m7NIkXkU3vgGGDyzeQg6BzJsQ7A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxZ1-RnQPddkTo3LA14AaABAg,Germany become more and more succumbed country.... Their people going to suffer a lot..... Technology doesn't fill their stomach 😂,1 day ago,Indian Tiger,UC_8Ry2reVTvz-ru0na0gAhw,0,https://yt3.ggpht.com/npXVfQiSZVA_ll_L0BZncpXaE9sJwWj6P0AIRQaSwiVcexTkKI-I8ocSqFmd82CLneNQgb3MuA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNl4lFE8gW0slq1KZ4AaABAg,"If you have a friend like USA then you don't need any enemies.
ZELENSKY",1 day ago,USA:Syria Japan Iraq war criminal,UCYaEpk73K3TGddAEbMH2Edw,7,https://yt3.ggpht.com/ytc/AKedOLSs2QQR69yD0wtjVnbAqYokYYvFriaPAp9vrAw8_g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwMXpMqTSCQPMvkpZZ4AaABAg,"Are the EU countries looters friend? If they have taken such actions against corrupted millionaires at the normal times we could appreciate it, but, now as revenge on the Russian president they have done so.",1 day ago,Vibin A.S.,UCI-c5FQqpKOiWoITDND_u4w,0,https://yt3.ggpht.com/ytc/AKedOLQseDMZFuqxJh4CaTZROQjIM5fTXvkt5MItjdKqYQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxpVqrg7e9pYx6FIxh4AaABAg,thefts stealing everything from rich 😂,1 day ago,Rahulk Naina,UCIP0ckAsb2GsNHMbn5sJaGg,1,https://yt3.ggpht.com/ytc/AKedOLTWfCzpc-TglV6Bp33A3XrC1XjvtxjW0EQcqw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyDAivl1NTyidXen014AaABAg,"This is illegal.  And not surprising since germany likes to steal assets...like they did to the jews before killing them. 

And...stop deleting my comment. The truth hurts.",1 day ago (edited),Shaarinya,UC88BVkBhElis43URmvQynoQ,0,https://yt3.ggpht.com/ytc/AKedOLQyTjplIFwx4wpuIj8mOPsdYhlQbkFmJ0a8Mqsb=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNV-EWw20T5-eLDY54AaABAg,ON WHAT BASIS RACIST WESTERN NEO-NAZI PIGLETS ARE CONFISCATING PRIVATE YACHTS?,1 day ago,NARA NAT,UCDsycu3ZrW6nn7us8CBTcjw,0,https://yt3.ggpht.com/ytc/AKedOLSN6YUgCPoGiRZYNcu1ATKw_Vqq-gk1I3QSTIWT8NS-cVTP7mxa44gmL_9VZ2EL=s176-c-k-c0x00ffffff-no-rj,0.0
UgwuRE4SB1KhqoAy7-t4AaABAg.9_sRk8nB4U-9_t1UVKMzNh,democracy is about rule of majority not necessary about respecting ownership of inviduals,4 hours ago,DJ Ri,UCwGEcHSCuFqvHhuoh6ha0Jw,0,https://yt3.ggpht.com/ytc/AKedOLQHg499jjSq_pSz1d-GrR8zD3zdd08zT7DCCe11=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz9smVqezu_Gqqbrz14AaABAg,"Please let's stop encouraging Ukraine to continue fighting with Russia, because the Innocent souls are dying for nothing",1 day ago,Augustina Mensah,UCH93N4qXFqP13-0gHx9LJrw,1,https://yt3.ggpht.com/ytc/AKedOLTvff1f11QzZN63gOnvikX49jblq_g0tj3AnyJ5jXx6WCQwtVZKYgU0QXWxr4V2=s176-c-k-c0x00ffffff-no-rj,0.0
UgwlLe5Uq5G50v5gemp4AaABAg,"So basically, if you are russian, your properties can be taken. How is that suppose to be legal?",1 day ago,karlito_ ln,UC5qMOZFManqe3VvANj_daPw,2,https://yt3.ggpht.com/ytc/AKedOLRecMigEix4I810kty3j9oFEQVEAEqekFZOzg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzhttKEnTqBTti_Ull4AaABAg,"This is how it's going to be is it?, everyone trying to take everyone else's money.  This is how it starts, 'oligarchs' then it's family, then friends, then friends of friends, then just anyone . Then it's YOUR turn one day.  The police have been doing this for years, just taking things with no proof of crime, trying to say it's 'proceeds of crime'  Unless someone has committed a crime, with factual evidence beyond all doubt, then they have done nothing wrong, and nobody has the right to interfere with their property or money. So nobody will mind if Russia takes everyone's stuff then? Where does it end? Wanting to take my stuff too, because I don't blindly agree with this? Accuse me of supporting Russia and take my stuff? Because I don't support unlawful behaviour of the state?",1 day ago (edited),MH,UC8Kroi14_hvQyG-_dkDAR_Q,0,https://yt3.ggpht.com/ytc/AKedOLSk4vMC-T8nkP9LElbL6lGOPXbLGzw1UPRjlpQKHg=s176-c-k-c0x00ffffff-no-rj,0.0
UgweG_Djy-vLqPraqbl4AaABAg,Ban all those hindi songs that have रसिया in them.,1 day ago,ASHEESH KUMAR,UCApNpm1Ewmj4JWLkvP92ihg,0,https://yt3.ggpht.com/ytc/AKedOLS59gGEgpbFO0VDqwK3s5Q8KyH6n9nGu-BOv9BfvQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwi-sRMmg102RqBiXd4AaABAg,It should be gutted and used for Ukraine refugees,1 day ago,Joseph T pg,UCXZ2603T9VXNlFDEDFD_RAA,0,https://yt3.ggpht.com/ytc/AKedOLSMlizO6LTExwqMSIpuew9gYjsJjt1O2D6kzqzBDc5pB-fjDnPOKx-Wi9lT5tUs=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx7JXOwUqRa7mrEdQ14AaABAg,Stealing,1 day ago,⚔️ Defence,UCkLbNsVDOGdnzMgf-jN7n0Q,2,https://yt3.ggpht.com/ytc/AKedOLRThr8tl_KgZWPR_f7lHZrMdk3AIbt6uvMBnCn3_FnZJw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvhSfYdrdlZGi5LBx4AaABAg,Seizing a person's Property based on his Origin?? I'm pretty sure this will go to UN court,1 day ago,BlueEyes-WhiteDragon,UCpGPP8sJd-RKB1Gf_ADm8Aw,5,https://yt3.ggpht.com/VI8HSVIVP5Ti853gnxcMZgionk1X3YCsnKusXqn7GsEKMoHHGcPUhBhxJsf1iMkSLKcHKF1G=s176-c-k-c0x00ffffff-no-rj,0.0
UgzpfH5pegu3B4VzxIx4AaABAg,"they STILED  ,they  do what they wanna .. NACIST",1 day ago,Nikolay Pugev,UCRlxAY9E4SHp2y6chjJeqzQ,0,https://yt3.ggpht.com/ytc/AKedOLT_wT_cFMRl6SRZkvCzxEBtfLCEe0Qf-8deKb5k0g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsuISi2OKLmxUWlwV4AaABAg,Sounds like piracy to me. How many foreign American assets were seized when the U.S. invaded Iraq on the other side of the planet?,1 day ago,Kfkdjejeo,UCek14pYLTWH0Np2JM6AygIA,0,https://yt3.ggpht.com/ytc/AKedOLQgDfK9Myvz0pYA2NDtzshrgf23UKFNjvx7KiW7UJwt98-8d_D0bZgpwRf7h30P=s176-c-k-c0x00ffffff-no-rj,0.0
